Time;Channel A
(us);(V)

-4,37649987;2,47477865
-4,37549987;2,58735228
-4,37449987;2,81219244
-4,37349987;2,92476630
-4,37249987;3,03734016
-4,37149987;3,26218009
-4,37049987;3,37475395
-4,36949987;3,48732781
-4,36849987;3,59990168
-4,36749987;3,71247530
-4,36649987;3,93731546
-4,36549987;4,04988909
-4,36449987;4,16246319
-4,36349987;4,16246319
-4,36249987;4,27472925
-4,36149987;4,38730335
-4,36049987;4,49987698
-4,35949987;4,61245060
-4,35849987;4,61245060
-4,35749987;4,72471714
-4,35649987;4,72471714
-4,35549987;4,72471714
-4,35449987;4,83729076
-4,35349987;4,83729076
-4,35249987;4,94986486
-4,35149987;4,94986486
-4,35049987;4,94986486
-4,34949987;4,94986486
-4,34849987;4,94986486
-4,34749987;4,83729076
-4,34649987;4,94986486
-4,34549987;4,94986486
-4,34449987;4,83729076
-4,34349987;4,83729076
-4,34249987;4,83729076
-4,34149987;4,72471714
-4,34049987;4,72471714
-4,33949987;4,72471714
-4,33849987;4,72471714
-4,33749987;4,61245060
-4,33649987;4,49987698
-4,33549987;4,49987698
-4,33449987;4,49987698
-4,33349987;4,38730335
-4,33249987;4,27472925
-4,33149987;4,27472925
-4,33049987;4,16246319
-4,32949987;4,16246319
-4,32849987;4,04988909
-4,32749987;3,93731546
-4,32649987;3,82474160
-4,32549987;3,82474160
-4,32449987;3,71247530
-4,32349987;3,59990168
-4,32249987;3,59990168
-4,32149987;3,48732781
-4,32049987;3,26218009
-4,31949987;3,26218009
-4,31849987;3,14991379
-4,31749987;3,03734016
-4,31649987;2,92476630
-4,31549987;2,81219244
-4,31449987;2,69992614
-4,31349987;2,58735228
-4,31249987;2,47477865
-4,31149987;2,36220479
-4,31049987;2,24993849
-4,30949987;2,13736463
-4,30849987;2,02479076
-4,30749987;1,91221702
-4,30649987;1,68737698
-4,30549987;1,57480311
-4,30449987;1,46222937
-4,30349987;1,23738933
-4,30249987;1,12481546
-4,30149987;1,01224160
-4,30049987;0,89997542
-4,29949987;0,67482775
-4,29849987;0,56225395
-4,29749987;0,44998771
-4,29649987;0,22484006
-4,29549987;0,11226624
-4,29449987;-0,11226624
-4,29349987;-0,22484006
-4,29249987;-0,44998771
-4,29149987;-0,56225395
-4,29049987;-0,67482775
-4,28949987;-0,89997542
-4,28849987;-1,01224160
-4,28749987;-1,23738933
-4,28649987;-1,34996307
-4,28549987;-1,57480311
-4,28449987;-1,68737698
-4,28349987;-1,91221702
-4,28249987;-2,02479076
-4,28149987;-2,24993849
-4,28049987;-2,36220479
-4,27949987;-2,47477865
-4,27849987;-2,69992614
-4,27749987;-2,92476630
-4,27649987;-3,03734016
-4,27549987;-3,14991379
-4,27449987;-3,37475395
-4,27349987;-3,48732781
-4,27249987;-3,48732781
-4,27149987;-3,71247530
-4,27049987;-3,82474160
-4,26949987;-3,93731546
-4,26849987;-4,04988909
-4,26749987;-4,16246319
-4,26649987;-4,27472925
-4,26549987;-4,27472925
-4,26449987;-4,38730335
-4,26349987;-4,49987698
-4,26249987;-4,61245060
-4,26149987;-4,61245060
-4,26049987;-4,61245060
-4,25949987;-4,72471714
-4,25849987;-4,72471714
-4,25749987;-4,72471714
-4,25649987;-4,72471714
-4,25549987;-4,83729076
-4,25449987;-4,83729076
-4,25349987;-4,83729076
-4,25249987;-4,83729076
-4,25149987;-4,83729076
-4,25049987;-4,72471714
-4,24949987;-4,72471714
-4,24849987;-4,72471714
-4,24749987;-4,72471714
-4,24649987;-4,72471714
-4,24549987;-4,61245060
-4,24449987;-4,61245060
-4,24349987;-4,61245060
-4,24249987;-4,49987698
-4,24149987;-4,49987698
-4,24049987;-4,38730335
-4,23949987;-4,38730335
-4,23849987;-4,38730335
-4,23749987;-4,27472925
-4,23649987;-4,27472925
-4,23549987;-4,16246319
-4,23449987;-4,16246319
-4,23349987;-4,04988909
-4,23249987;-4,04988909
-4,23149987;-3,93731546
-4,23049987;-3,93731546
-4,22949987;-3,82474160
-4,22849987;-3,82474160
-4,22749987;-3,71247530
-4,22649987;-3,71247530
-4,22549987;-3,59990168
-4,22449987;-3,59990168
-4,22349987;-3,59990168
-4,22249987;-3,48732781
-4,22149987;-3,48732781
-4,22049987;-3,37475395
-4,21949987;-3,26218009
-4,21849987;-3,26218009
-4,21749987;-3,14991379
-4,21649987;-3,03734016
-4,21549987;-2,92476630
-4,21449987;-2,92476630
-4,21349987;-2,81219244
-4,21249987;-2,69992614
-4,21149987;-2,58735228
-4,21049987;-2,47477865
-4,20949987;-2,36220479
-4,20849987;-2,36220479
-4,20749987;-2,24993849
-4,20649988;-2,13736463
-4,20549988;-2,02479076
-4,20449988;-1,91221702
-4,20349988;-1,79995084
-4,20249988;-1,57480311
-4,20149988;-1,46222937
-4,20049988;-1,34996307
-4,19949988;-1,12481546
-4,19849988;-1,01224160
-4,19749988;-0,89997542
-4,19649988;-0,78740156
-4,19549988;-0,67482775
-4,19449988;-0,44998771
-4,19349988;-0,33741388
-4,19249988;-0,11226624
-4,19149988;0,00000000
-4,19049988;0,11226624
-4,18949988;0,33741388
-4,18849988;0,44998771
-4,18749988;0,67482775
